book_id,book_title,language,speaker_id,section_id,section_number,section_title,playtime,audio_link,file_id
14858,"How To Write Short Stories, with examples",English,8463,488078,1,Preface,554,https://www.archive.org/download/howtowriteshortstories_2007_librivox/howtowriteshortstories_00_lardner.mp3,howtowriteshortstories_00_lardner
14859,Legends of Charlemagne (Version 2),English,4570,488100,1,Introduction,1527,https://www.archive.org/download/charlemagne_2009_librivox/charlemagne_01_bulfinch.mp3,charlemagne_01_bulfinch
14860,"Mark Twain in the New York Times, Part Five (1907-1909)",English,107,488127,1,"January 1, 1907 - MARK TWAIN AND TWIN CHEER NEW YEAR'S PARTY",411,https://www.archive.org/download/marktwain_newyorktimes5_2003_librivox/marktwaininthenewyorktimes5_001_twain.mp3,marktwaininthenewyorktimes5_001_twain
14862,State of the Union Addresses by United States Presidents (1897 - 1900),English,13947,488286,1,"William McKinley, December 6, 1897, part 1",759,https://www.archive.org/download/stateoftheunion1897-1900_2008_librivox/stateoftheunion_1897_1900_01_various.mp3,stateoftheunion_1897_1900_01_various
14863,Green World,English,5717,488304,1,Part I,1355,https://www.archive.org/download/thegreenworld_2007_librivox/thegreenworld_01_clement.mp3,thegreenworld_01_clement
14864,Venus Boy (Version 2),English,5717,488312,1,A Hero of Venus & The First Two Secrets,843,https://www.archive.org/download/venus_boy_2003_librivox/venusboy_01_sutton.mp3,venusboy_01_sutton
14866,"Spirit of the Age; Or, Contemporary Portraits",English,3374,488350,1,Jeremy Bentham,2483,https://www.archive.org/download/spiritoftheage_2012_librivox/spiritoftheage_01_hazlitt.mp3,spiritoftheage_01_hazlitt
14867,Life of Philip Melanchthon,English,8425,488367,1,Prefaces,412,https://www.archive.org/download/philip_melanchthon_2103_librivox/melanchthon_00_ledderhose.mp3,melanchthon_00_ledderhose
14868,Preliminary Report on Neo-Fascist and Hate Groups,English,13278,488412,1,Foreword,397,https://www.archive.org/download/preliminaryreport_hategroups_2003_librivox/neofascistandhategroups_01_huac.mp3,neofascistandhategroups_01_huac
14869,Garden Of Folly,English,6454,488419,1,Lead-In And Preface: Concerning Humour And Humourists,478,https://www.archive.org/download/garden_of_folly_2004_librivox/gardenoffolly_00_leacock.mp3,gardenoffolly_00_leacock
14870,"Lives of the Queens of England, Volume 9",English,3681,488442,1,"Mary Beatrice of Modena, Ch I pt 1",1652,https://www.archive.org/download/queens_of_england_9_amb_2012_librivox/queensofengland9_01_strickland.mp3,queensofengland9_01_strickland
14871,Stories from the History of Rome,English,13037,488473,1,Preface,203,https://www.archive.org/download/stories_history_rome_2102_librivox/storiesfromhistoryrome_00_beesly.mp3,storiesfromhistoryrome_00_beesly
14872,"Ingersoll on ABRAHAM LINCOLN, from the Works of Robert G. Ingersoll, Volume 3, Lecture 3",English,8463,488489,1,I. AN INHERITANCE OF EXTREMES,685,https://www.archive.org/download/ingersoll_on_lincoln_v3_l3_2003_librivox/ingersollv3l3lincoln_01_ingersoll.mp3,ingersollv3l3lincoln_01_ingersoll
14875,Night and Morning,English,8786,488592,1,Night and Morning - Read by BK,72,https://www.archive.org/download/night_and_morning_2003.poem_librivox/nightandmorning_sangster_bk.mp3,nightandmorning_sangster_bk
14876,Night in March,English,8786,488606,1,A Night In March - Read by BK,261,https://www.archive.org/download/nightinmarch_2003.poem_librivox/nightinmarch_scott_bk.mp3,nightinmarch_scott_bk
