segment_file,original_file,segment_index,duration
salad_smith_aps_0001.mp3,salad_smith_aps,1,18.273718820861678
familywellordered_01_mather_0005.mp3,familywellordered_01_mather,5,30.00269841269841
familywellordered_01_mather_0004.mp3,familywellordered_01_mather,4,29.976575963718822
restingwheel_wordsworth_dc_0000.mp3,restingwheel_wordsworth_dc,0,26.580657596371882
familywellordered_01_mather_0006.mp3,familywellordered_01_mather,6,29.976575963718822
salad_smith_aps_0000.mp3,salad_smith_aps,0,29.976575963718822
restingwheel_wordsworth_dc_0001.mp3,restingwheel_wordsworth_dc,1,29.610861678004536
restingwheel_wordsworth_ws_0002.mp3,restingwheel_wordsworth_ws,2,20.28514739229025
restingwheel_wordsworth_ws_0000.mp3,restingwheel_wordsworth_ws,0,28.461473922902496
salad_smith_aps_0003.mp3,salad_smith_aps,3,15.556984126984126
restingwheel_wordsworth_ks_0000.mp3,restingwheel_wordsworth_ks,0,30.00269841269841
salad_smith_aps_0002.mp3,salad_smith_aps,2,29.976575963718822
salad_smith_lcw_0000.mp3,salad_smith_lcw,0,30.00269841269841
restingwheel_wordsworth_ks_0001.mp3,restingwheel_wordsworth_ks,1,28.95780045351474
salad_smith_lcw_0001.mp3,salad_smith_lcw,1,29.976575963718822
restingwheel_wordsworth_ws_0001.mp3,restingwheel_wordsworth_ws,1,28.069637188208617
restingwheel_wordsworth_gln_0001.mp3,restingwheel_wordsworth_gln,1,23.28922902494331
richcrooks_10_young_0000.mp3,richcrooks_10_young,0,23.445963718820863
richcrooks_10_young_0004.mp3,richcrooks_10_young,4,29.898208616780046
restingwheel_wordsworth_alp_0000.mp3,restingwheel_wordsworth_alp,0,25.82310657596372
richcrooks_10_young_0001.mp3,richcrooks_10_young,1,29.898208616780046
restingwheel_wordsworth_alp_0001.mp3,restingwheel_wordsworth_alp,1,29.924331065759638
richcrooks_10_young_0003.mp3,richcrooks_10_young,3,28.174126984126985
richcrooks_10_young_0007.mp3,richcrooks_10_young,7,29.976575963718822
richcrooks_10_young_0006.mp3,richcrooks_10_young,6,25.222290249433108
richcrooks_10_young_0008.mp3,richcrooks_10_young,8,27.886780045351475
restingwheel_wordsworth_gln_0000.mp3,restingwheel_wordsworth_gln,0,19.00514739229025
richcrooks_10_young_0005.mp3,richcrooks_10_young,5,23.080249433106577
richcrooks_10_young_0002.mp3,richcrooks_10_young,2,29.42800453514739
restingwheel_wordsworth_gln_0002.mp3,restingwheel_wordsworth_gln,2,14.982290249433106
restingwheel_wordsworth_pr_0000.mp3,restingwheel_wordsworth_pr,0,28.931678004535147
restingwheel_wordsworth_rr_0001.mp3,restingwheel_wordsworth_rr,1,27.939024943310656
richcrooks_10_young_0009.mp3,richcrooks_10_young,9,16.523514739229025
restingwheel_wordsworth_dl_0000.mp3,restingwheel_wordsworth_dl,0,29.976575963718822
restingwheel_wordsworth_pr_0001.mp3,restingwheel_wordsworth_pr,1,26.97249433106576
restingwheel_wordsworth_rr_0000.mp3,restingwheel_wordsworth_rr,0,28.82718820861678
richcrooks_09_young_0000.mp3,richcrooks_09_young,0,29.976575963718822
restingwheel_wordsworth_dl_0001.mp3,restingwheel_wordsworth_dl,1,24.464739229024943
salad_smith_gll_0001.mp3,salad_smith_gll,1,29.741473922902493
restingwheel_wordsworth_pr_0002.mp3,restingwheel_wordsworth_pr,2,20.232902494331064
richcrooks_09_young_0001.mp3,richcrooks_09_young,1,29.4018820861678
salad_smith_bk_0000.mp3,salad_smith_bk,0,29.976575963718822
salad_smith_gll_0000.mp3,salad_smith_gll,0,29.55861678004535
salad_smith_bk_0001.mp3,salad_smith_bk,1,29.636984126984128
richcrooks_09_young_0003.mp3,richcrooks_09_young,3,29.7153514739229
restingwheel_wordsworth_rr_0002.mp3,restingwheel_wordsworth_rr,2,28.722698412698414
richcrooks_09_young_0002.mp3,richcrooks_09_young,2,26.08433106575964
restingwheel_wordsworth_dl_0002.mp3,restingwheel_wordsworth_dl,2,18.665555555555557
richcrooks_09_young_0004.mp3,richcrooks_09_young,4,21.539024943310658
salad_smith_cl_0000.mp3,salad_smith_cl,0,29.924331065759638
salad_smith_gll_0002.mp3,salad_smith_gll,2,26.580657596371882
salad_smith_cl_0001.mp3,salad_smith_cl,1,15.243514739229026
richcrooks_09_young_0008.mp3,richcrooks_09_young,8,29.0884126984127
richcrooks_09_young_0007.mp3,richcrooks_09_young,7,29.976575963718822
richcrooks_03_young_0000.mp3,richcrooks_03_young,0,29.976575963718822
richcrooks_09_young_0006.mp3,richcrooks_09_young,6,27.756167800453515
richcrooks_14_young_0000.mp3,richcrooks_14_young,0,24.046780045351476
salad_smith_cl_0002.mp3,salad_smith_cl,2,30.00269841269841
salad_smith_ikl_0000.mp3,salad_smith_ikl,0,29.976575963718822
richcrooks_09_young_0005.mp3,richcrooks_09_young,5,26.580657596371882
salad_smith_ikl_0001.mp3,salad_smith_ikl,1,16.02718820861678
richcrooks_14_young_0001.mp3,richcrooks_14_young,1,16.6018820861678
richcrooks_09_young_0010.mp3,richcrooks_09_young,10,26.68514739229025
richcrooks_14_young_0002.mp3,richcrooks_14_young,2,28.40922902494331
richcrooks_03_young_0001.mp3,richcrooks_03_young,1,29.924331065759638
richcrooks_03_young_0003.mp3,richcrooks_03_young,3,25.718616780045352
richcrooks_09_young_0009.mp3,richcrooks_09_young,9,18.508820861678004
richcrooks_03_young_0002.mp3,richcrooks_03_young,2,27.41657596371882
restingwheel_wordsworth_sp_0001.mp3,restingwheel_wordsworth_sp,1,15.03453514739229
richcrooks_03_young_0004.mp3,richcrooks_03_young,4,17.43780045351474
richcrooks_14_young_0004.mp3,richcrooks_14_young,4,24.908820861678006
richcrooks_14_young_0006.mp3,richcrooks_14_young,6,26.528412698412698
richcrooks_14_young_0005.mp3,richcrooks_14_young,5,26.815759637188208
richcrooks_14_young_0003.mp3,richcrooks_14_young,3,25.82310657596372
richcrooks_03_young_0006.mp3,richcrooks_03_young,6,24.69984126984127
restingwheel_wordsworth_sp_0000.mp3,restingwheel_wordsworth_sp,0,30.00269841269841
richcrooks_14_young_0008.mp3,richcrooks_14_young,8,29.66310657596372
